url,length,entropy,percent_num,num_special,bao_chi,chinh_tri,co_bac,khieu_dam,tpmt,con_lai,label
cdspbrvt edu,8,3,0,0,0,0,0,0,0,1,0
gionghatvietnhi online,15,3.057,0,0,0,0,0,0,0,1,1
vietelshop online,10,3.122,0,0,0,0,0,0,0,1,1
ruibcld live,7,2.807,0,0,0,0,0,0,0,1,1
trader edu,6,2.252,0,0,0,0,1,0,0,0,0
cmcgreat com,8,2.75,0,0,0,0,0,0,0,1,1
vaytien247 org,10,3.322,30,0,0,0,0,0,0,1,1
khaianhgroup,12,3.252,0,0,0,0,0,0,1,0,0
bongban24h com,10,2.922,20,0,1,0,0,0,0,0,0
vn-nhanqua store,10,2.646,0,1,0,0,0,0,0,1,1
vieclamonline24h com,16,3.5,12.5,0,1,0,0,0,0,0,1
fi88 info,4,1.5,50,0,0,0,0,0,0,1,1
cltx3s fun,6,2.585,16.667,0,0,0,0,0,0,1,1
vaytien-online com,14,3.182,0,1,1,0,0,0,0,0,1
mcc edu,3,0.918,0,0,0,0,0,0,0,1,0
50singapore click,11,3.459,18.182,0,0,0,0,0,0,1,1
viettel-store com,13,2.969,0,1,0,0,0,0,0,1,1
csql gov,4,2,0,0,0,0,0,0,0,1,0
banhbaosausy com,12,2.855,0,0,1,0,0,0,0,0,0
hotlive027 vip,10,3.322,30,0,0,0,0,0,0,1,1
quyetvu com,7,2.522,0,0,0,0,0,0,1,0,1
dailymercedescantho,19,3.682,0,0,1,0,0,0,0,0,0
vaythechapshinhanbank com,21,3.404,0,0,0,0,0,0,0,1,1
baovelonghai co,12,3.252,0,0,1,0,0,0,0,0,0
vaytinchapnganhangtcb online,21,3.249,0,0,1,0,0,0,0,0,1
truongxaydunghcm edu,16,3.625,0,0,0,0,0,0,1,0,0
cachvaytien com,11,3.096,0,0,0,0,0,0,1,0,1
ku88vip net,7,2.522,28.571,0,0,0,0,0,0,1,1
ticketvnepd6 online,12,3.252,8.333,0,0,0,0,0,0,1,1
