url,length,entropy,percent_num,num_special,bao_chi,chinh_tri,co_bac,khieu_dam,tpmt,con_lai,label
vvz99 com,5,1.522,40,0,0,0,0,0,0,1,1
tienbo,6,2.585,0,0,0,0,0,0,0,1,0
tinhdaulamela com,13,3.181,0,0,1,0,0,0,0,0,0
mandu com,5,2.322,0,0,0,0,0,0,1,0,0
cdmt edu,4,2,0,0,0,0,0,0,1,0,0
sd8722 xyz,6,2.252,66.667,0,0,0,0,0,0,1,1
thebankvietnam com,14,3.236,0,0,0,0,0,0,0,1,1
lfb,3,1.585,0,0,0,0,0,0,0,1,1
thumuamaytinhcu,15,3.057,0,0,1,0,0,0,0,0,0
sd1692 xyz,6,2.585,66.667,0,0,0,0,0,0,1,1
lodephomnay pro,11,3.278,0,0,0,0,1,0,0,0,1
usdtspin top,8,2.75,0,0,0,0,0,0,0,1,1
ctoweb68 com,8,3,25,0,0,0,0,0,0,1,1
clmmvip net,7,2.522,0,0,0,0,0,0,1,0,1
ban88a com,6,1.918,33.333,0,0,0,0,0,0,1,1
maytinhgiasi com,12,3.022,0,0,1,0,0,0,0,0,0
toanphatinfo com,12,2.918,0,0,1,0,0,0,0,0,0
cltxmm us,6,2.252,0,0,0,0,0,0,0,1,1
bitiva2 net,7,2.522,14.286,0,0,0,0,0,0,1,1
inet,4,2,0,0,0,0,0,0,0,1,0
zucht-baldrich de,14,3.522,0,1,0,0,0,0,1,0,1
baoholaodonghoanglan com,20,2.804,0,0,1,0,0,0,0,0,0
tt788 one,5,1.522,60,0,0,0,0,0,0,1,1
accenture net,9,2.725,0,0,0,0,0,0,0,1,0
iwin20 vip,6,2.252,33.333,0,0,0,0,0,0,1,1
ticketvnepd1 online,12,3.252,8.333,0,0,0,0,0,0,1,1
kendy id,5,2.322,0,0,0,0,0,0,0,1,0
napfreefirenhanh com,16,2.906,0,0,0,0,0,0,0,1,1
lotteria,8,2.75,0,0,0,0,0,0,1,0,0
timesland,9,3.17,0,0,1,0,0,0,0,0,0
shopee52 com,8,2.75,25,0,0,0,0,0,1,0,1
la1593 com,6,2.585,66.667,0,0,0,0,0,0,1,1
subgiare93 com,10,3.322,20,0,0,0,0,0,1,0,1
btcturkm net,8,2.75,0,0,0,0,0,0,0,1,1
rsquare,7,2.522,0,0,0,0,0,0,0,1,0
newstech,8,2.75,0,0,1,0,0,0,0,0,0
locthang11vn com,12,3.252,16.667,0,0,0,0,0,1,0,1
vcellar,7,2.522,0,0,0,0,0,0,1,0,0
km1154 com,6,2.252,66.667,0,0,0,0,0,0,1,1
xacminhaccount-garena com,21,3.559,0,1,0,0,0,0,1,0,1
vietnamqas com,10,3.122,0,0,0,0,0,0,0,1,1
foody123 xyz,8,2.75,37.5,0,0,0,0,0,1,0,1
mm63 club,4,1.5,50,0,0,0,0,0,0,1,1
vaytientaihue com,13,3.085,0,0,0,0,0,0,0,1,1
shinhanvaytieudung net,18,3.461,0,0,0,0,0,0,1,0,1
congtybaovequangngai com,20,3.509,0,0,1,0,0,0,0,0,0
vivayvnd com,8,2.406,0,0,0,0,0,0,0,1,1
spacecons,9,2.725,0,0,0,0,0,0,1,0,0
tdtindustry com,11,2.845,0,0,1,0,0,0,0,0,0
trangnganhangso247 com,18,3.197,16.667,0,0,0,0,0,1,0,1
pcmclk com,6,2.252,0,0,0,0,0,0,0,1,1
sondien,7,2.522,0,0,0,0,0,0,0,1,0
668dg org,5,1.922,60,0,0,0,0,0,0,1,1
comarch,7,2.522,0,0,0,0,0,0,0,1,0
thegioibantin com,13,3.027,0,0,1,0,0,0,0,0,0
patintoanshop,13,2.931,0,0,1,0,0,0,0,0,0
macao969 com,8,2.5,37.5,0,0,0,0,0,0,1,1
esertrust com,9,2.281,0,0,0,0,0,0,1,0,1
maytinhbanggiare,16,3.328,0,0,1,0,0,0,0,0,0
aio-citys com,9,2.948,0,1,0,0,0,0,1,0,0
fg7b8 com,5,2.322,40,0,0,0,0,0,0,1,1
cltx baby,4,2,0,0,0,0,0,0,0,1,1
soc gov,3,1.585,0,0,0,0,0,0,0,1,0
spti3 edu,5,2.322,20,0,0,0,0,0,0,1,0
sixpad com,6,2.585,0,0,0,0,0,0,0,1,0
huaxinapp2 com,10,2.922,10,0,0,0,0,0,0,1,1
goldland guru,8,2.5,0,0,0,0,0,0,0,1,1
tinhdauvenus,12,3.252,0,0,1,0,0,0,0,0,0
vaytiengop247 com,13,3.7,23.077,0,0,0,0,0,0,1,1
vnloto vip,6,2.252,0,0,0,0,0,0,0,1,1
w88tntc com,7,2.236,28.571,0,0,0,0,0,0,1,1
nniuuper top,8,2.5,0,0,0,0,0,0,1,0,1
v88rich com,7,2.522,28.571,0,0,0,0,0,0,1,1
hoc247,6,2.585,50,0,0,0,0,0,0,1,0
twin161 com,7,2.522,42.857,0,0,0,0,0,0,1,1
bestrent,8,2.5,0,0,0,0,0,0,0,1,0
hoidonggiaosunhanuoc gov,20,3.184,0,0,0,1,0,0,0,0,0
tinhdau100,10,3.122,30,0,1,0,0,0,0,0,0
go888 win,5,1.371,60,0,0,0,0,0,0,1,1
caosubaokhanh,13,3.027,0,0,1,0,0,0,0,0,0
chongluadao org,11,3.096,0,0,0,0,0,1,0,0,1
la34 com,4,2,50,0,0,0,0,0,0,1,0
bigmi,5,1.922,0,0,0,0,0,0,0,1,0
ahdhww com,6,1.918,0,0,0,0,0,0,0,1,1
vn-ac xyz,5,2.322,0,1,0,0,0,0,0,1,1
tinphatmetal,12,3.022,0,0,1,0,0,0,0,0,0
baovesaoviet com,12,2.918,0,0,1,0,0,0,0,0,0
zalozt com,6,2.252,0,0,0,0,0,0,1,0,1
honlye300 com,9,2.948,33.333,0,0,0,0,0,0,1,1
shoptoplq com,9,2.725,0,0,0,0,0,0,0,1,1
vayonline com,9,2.948,0,0,1,0,0,0,0,0,1
giaodichquettindungpos247-online com,32,4.039,9.375,1,1,0,0,0,0,0,1
dinhhai gov,7,2.236,0,0,0,0,0,0,0,1,0
vn-iss top,6,2.252,0,1,0,0,0,0,0,1,1
steamcomminuty com,14,3.325,0,0,0,0,0,0,1,0,1
qqmrsji cfd,7,2.522,0,0,0,0,0,0,0,1,1
shopsieucapx5 com,13,3.393,7.692,0,0,0,0,0,1,0,1
quangcaobaoanh,14,2.95,0,0,1,0,0,0,0,0,0
vnpggroup com,9,2.725,0,0,0,0,0,0,0,1,1
minhthong,9,2.725,0,0,0,0,0,0,1,0,0
aeonvp com,6,2.585,0,0,0,0,0,0,1,0,1
bet789 vin,6,2.585,50,0,0,0,1,0,0,0,1
quangbinhspkt id,13,3.547,0,0,0,0,0,0,1,0,0
vie-tcapital com,12,3.085,0,1,0,0,0,0,0,1,1
saovietdoor,11,3.027,0,0,0,0,0,0,0,1,0
noithatviet24h com,14,3.182,14.286,0,1,0,0,0,0,0,0
satax,5,1.922,0,0,0,0,0,0,0,1,0
stokmad com,7,2.807,0,0,0,0,0,0,0,1,1
batdongsanlongan com,16,2.953,0,0,0,0,0,0,1,0,0
mining-dig com,10,2.446,0,1,0,0,0,0,1,0,1
aiailive1 com,9,2.419,11.111,0,0,0,0,0,1,0,1
2007 edu,4,1.5,100,0,0,0,0,0,0,1,0
wsc edu,3,1.585,0,0,0,0,0,0,0,1,0
vindentist,10,2.722,0,0,0,0,0,0,0,1,0
ff-membership shop,13,3.239,0,1,0,0,0,0,0,1,1
ethereumgen com,11,2.732,0,0,0,0,0,0,1,0,1
charmhair com,9,2.503,0,0,0,0,0,0,0,1,0
e-haiphong gov,10,3.122,0,1,0,0,0,0,1,0,0
interwebcomputers co uk,17,3.572,0,0,0,0,0,0,1,0,1
debet info,5,1.922,0,0,0,0,1,0,0,0,1
wltya7a cfd,7,2.522,14.286,0,0,0,0,0,0,1,1
live com,4,2,0,0,0,0,0,0,0,1,0
mech edu,4,2,0,0,0,0,0,0,0,1,0
freefire-member,15,2.549,0,1,0,0,0,0,0,1,1
fccomvvn com,8,2.5,0,0,0,0,0,0,0,1,1
tt id,2,0,0,0,0,0,0,0,0,1,0
88in1 in,5,1.922,60,0,0,0,0,0,0,1,1
thlienhiep edu,10,2.722,0,0,0,0,0,0,1,0,1
vn-lo-mo-58889 online,14,2.985,35.714,3,0,0,0,0,0,1,1
cdhk edu,4,2,0,0,0,0,0,0,0,1,0
taynguyenuni edu,12,2.855,0,0,0,0,0,0,1,0,0
ape gov,3,1.585,0,0,0,0,0,0,1,0,0
hstrong com,7,2.807,0,0,0,0,0,0,0,1,0
thelinkreit,11,2.914,0,0,0,0,0,0,1,0,0
tinhdaunguyenchat,17,3.337,0,0,1,0,0,0,0,0,0
asp4567 com,7,2.807,57.143,0,0,0,0,0,0,1,1
vinatex com,7,2.807,0,0,0,0,0,0,0,1,0
joylida com,7,2.807,0,0,0,0,0,0,0,1,1
hotrovaytinchapshinhan xyz,22,3.391,0,0,1,0,0,0,0,0,1
xinh7 com,5,2.322,20,0,0,0,0,0,0,1,1
lahabipee com,9,2.725,0,0,0,0,0,0,1,0,1
chiasevaytien com,13,3.239,0,0,0,0,0,0,1,0,1
bblive39 vip,8,2.75,25,0,0,0,0,0,0,1,1
bachkhoahn edu,10,2.646,0,0,0,0,0,0,0,1,0
phaohoaviet,11,2.914,0,0,0,0,0,0,0,1,0
blumvietnam,11,3.278,0,0,0,0,0,0,0,1,0
tinhdausachanh com,14,2.985,0,0,1,0,0,0,0,0,0
wf4s9ptfah5y cc,12,3.418,25,0,0,0,0,0,0,1,1
vayvonnhanh online,11,2.482,0,0,0,0,0,0,1,0,1
meetup18 com,8,2.75,25,0,0,0,0,0,0,1,1
batdongsancaocap com,16,3.125,0,0,0,0,0,0,1,0,0
vn-link com,7,2.522,0,1,0,0,0,0,1,0,1
sieumomo com,8,2.5,0,0,0,0,0,0,1,0,1
bitsmex net,7,2.807,0,0,0,0,0,0,0,1,1
diaocnamtrungbo,15,3.507,0,0,0,0,0,0,1,0,0
za-cosmetics,12,3.252,0,1,0,0,0,0,0,1,0
exness help,6,1.918,0,0,0,0,0,0,0,1,1
daikinvietnam,13,3.027,0,0,0,0,0,0,1,0,1
tinnhadatchinhchu,17,2.867,0,0,1,0,0,0,0,0,0
amata ren,5,1.371,0,0,0,0,0,0,0,1,1
shddyouss xyz,9,2.419,0,0,0,0,0,0,0,1,1
goshopback vip,10,3.122,0,0,0,0,0,0,0,1,1
tramhuongtinhdaustarone com,23,3.556,0,0,1,0,0,0,0,0,0
lmhoptacxatthue com,15,3.323,0,0,0,0,0,0,0,1,0
sd8758 xyz,6,2.252,66.667,0,0,0,0,0,0,1,1
suckhoevietnam24h com,17,3.852,11.765,0,1,0,0,0,0,0,0
tiki bet,4,1.5,0,0,0,0,0,0,0,1,1
miningdogeapp xyz,13,3.085,0,0,0,0,0,0,1,0,1
lazadabrand com,11,2.55,0,0,0,0,0,0,0,1,1
jadeguasha,10,2.846,0,0,0,0,0,0,0,1,0
yeucaycanh com,10,2.722,0,0,0,0,0,0,1,0,0
vkt88 app,5,1.922,40,0,0,0,0,0,0,1,1
thongbaodv com,10,3.122,0,0,1,0,0,0,0,0,0
krieg30708 de,10,3.122,50,0,0,0,0,0,0,1,1
hethong2022vn com,13,3.027,30.769,0,0,0,0,0,0,1,1
baotinland,10,2.922,0,0,1,0,0,0,0,0,0
filavietnamve com,13,3.085,0,0,0,0,0,0,0,1,1
vn10008 cc,7,2.128,71.429,0,0,0,0,0,0,1,1
flagold,7,2.522,0,0,0,0,0,0,0,1,0
duocbaotin,10,3.122,0,0,1,0,0,0,0,0,0
thaigiabao,10,2.646,0,0,1,0,0,0,0,0,0
tinhphicongchung com,16,3.031,0,0,1,0,0,0,0,0,0
phattriendothi com,14,3.182,0,0,0,0,0,0,1,0,0
icon com,4,2,0,0,0,0,0,0,0,1,0
tool88 pro,6,1.918,33.333,0,0,0,0,0,0,1,1
tapchinghethuatbieudien,23,3.436,0,0,1,0,0,0,0,0,0
newfashion,10,3.122,0,0,0,0,0,0,0,1,0
taxicuchi,9,2.725,0,0,0,0,0,0,1,0,0
xiaomihue,9,2.948,0,0,0,0,0,0,1,0,0
tienphong-vdc com,13,3.547,0,1,0,0,0,0,1,0,0
th9982 com,6,2.252,66.667,0,0,0,0,0,0,1,1
cameracongngheso,16,3.25,0,0,0,0,0,0,0,1,0
tiki9833 com,8,2.5,50,0,0,0,0,0,0,1,1
sexvui com,6,2.585,0,0,0,0,0,1,0,0,1
sukienhatinh com,12,3.085,0,0,1,0,0,0,0,0,0
bsec edu,4,2,0,0,0,0,0,0,1,0,0
paybigo com,7,2.807,0,0,0,0,0,0,0,1,1
vdemo14 xyz,7,2.807,28.571,0,0,0,0,0,0,1,1
daohanthetindunghanoi,21,3.178,0,0,1,0,0,0,0,0,1
fuim sbs,4,2,0,0,0,0,0,0,0,1,1
vnppgroup com,9,2.642,0,0,0,0,0,0,0,1,1
rxvietnam,9,3.17,0,0,0,0,0,0,0,1,0
fjob xyz,4,2,0,0,0,0,0,0,0,1,1
tinphatvn com,9,2.725,0,0,1,0,0,0,0,0,0
rikkvip club,7,2.236,0,0,0,0,0,0,0,1,1
vn-uur top,6,2.252,0,1,0,0,0,0,0,1,1
ptxmkoman,9,2.948,0,0,0,0,0,0,0,1,0
vnipay top,6,2.585,0,0,0,0,0,0,0,1,1
thangmayhatinh,14,2.842,0,0,1,0,0,0,0,0,0
dathangdon com,10,2.722,0,0,0,0,0,0,1,0,1
thanhpc pro,7,2.522,0,0,0,0,0,0,0,1,1
batdongsanbacbo,15,3.006,0,0,0,0,0,0,1,0,0
kodelang dev,8,3,0,0,0,0,0,0,1,0,0
nhaxequocbinh pro,13,3.393,0,0,0,0,0,0,0,1,0
dalat-info gov,10,3.122,0,1,0,0,0,0,1,0,0
sadm15 com,6,2.585,33.333,0,0,0,0,0,1,0,1
6623a com,5,1.922,80,0,0,0,0,0,0,1,1
hackmeta pro,8,2.75,0,0,0,0,0,0,0,1,1
baokhanhltd com,11,3.096,0,0,1,0,0,0,0,0,0
0mo0mo com,6,1.585,33.333,0,0,0,0,0,0,1,1
topuytin com,8,2.75,0,0,1,0,0,0,0,0,1
fullcrack,9,2.725,0,0,0,0,0,0,0,1,1
vn882 com,5,1.922,60,0,0,0,0,0,0,1,1
vebo live,4,2,0,0,0,0,0,0,0,1,1
okcredit,8,3,0,0,0,0,0,0,1,0,1
newbitforex com,11,3.278,0,0,0,0,0,0,1,0,1
hongphucbao com,11,3.096,0,0,1,0,0,0,0,0,0
vpha org,4,2,0,0,0,0,0,0,0,1,0
7881598 com,7,2.128,100,0,0,0,0,0,0,1,1
lfmsecure com,9,2.948,0,0,0,0,0,0,1,0,1
vnmsb2023 com,9,2.948,44.444,0,0,0,0,0,0,1,1
ninjavan,8,2.156,0,0,0,0,0,0,1,0,0
mofa gov,4,2,0,0,0,0,0,0,0,1,0
vnbct com,5,2.322,0,0,0,0,0,0,0,1,1
skyway capital,6,2.252,0,0,0,0,0,0,0,1,1
monrenews gov,9,2.725,0,0,1,0,0,0,0,0,0
thcsphanboichau edu,15,3.323,0,0,0,0,0,0,1,0,0
amazonzxc com,9,2.725,0,0,0,0,0,0,0,1,1
veso-vn com,7,2.522,0,1,0,0,0,0,0,1,1
luhau,5,1.922,0,0,0,0,0,0,0,1,1
villa com,5,1.922,0,0,0,0,0,0,0,1,0
rdv333 com,6,1.792,50,0,0,0,0,0,0,1,1
quatanthu group,9,2.503,0,0,0,0,0,0,0,1,1
mucwyeda cn,8,3,0,0,0,0,0,0,0,1,1
baochaugroup com,12,3.085,0,0,1,0,0,0,0,0,0
vn-ty xyz,5,2.322,0,1,0,0,0,0,0,1,1
thanhoptimagroup com,16,3.375,0,0,0,0,0,0,0,1,1
tincadcam com,9,2.725,0,0,1,0,0,0,0,0,0
gkfxprime-cn com,12,3.585,0,1,0,0,0,0,0,1,1
dme-ccd top,7,2.236,0,1,0,0,0,0,1,0,1
petshopmiendathua,17,3.499,0,0,0,0,0,0,1,0,0
bitbuyhomes com,11,3.278,0,0,0,0,0,0,0,1,1
exindian net,8,2.5,0,0,0,0,0,0,1,0,1
cinderellabridal,16,3.078,0,0,0,0,0,0,0,1,0
totalsports com,11,2.664,0,0,0,0,0,0,0,1,0
tinchap-nganhang online,16,2.953,0,1,1,0,0,0,0,0,1
baobaogroup com,11,2.664,0,0,1,0,0,0,0,0,0
xocdiacobacbip com,14,2.896,0,0,0,0,1,0,0,0,1
otpbypass xyz,9,2.725,0,0,0,0,0,0,0,1,1
inbaobihungkhang,16,3.078,0,0,1,0,0,0,0,0,0
baovephuonghoang com,16,3.203,0,0,1,0,0,0,0,0,0
blued-vietnam com,13,3.547,0,1,0,0,0,0,0,1,1
minichanle club,10,2.922,0,0,0,0,0,0,1,0,1
maytinhvungtau,14,3.236,0,0,1,0,0,0,0,0,0
12wet com,5,2.322,40,0,0,0,0,0,0,1,1
dulichfestival com,14,3.522,0,0,0,0,0,0,1,0,0
upceshop cn,8,2.75,0,0,0,0,0,0,0,1,1
4y54ejk cfd,7,2.522,42.857,0,0,0,0,0,0,1,1
clmm ski,4,1.5,0,0,0,0,0,0,1,0,1
fbs54 com,5,2.322,40,0,0,0,0,0,0,1,1
hict edu,4,2,0,0,0,0,0,0,0,1,0
vinpas,6,2.585,0,0,0,0,0,0,0,1,0
kuclub6 com,7,2.522,14.286,0,0,0,1,0,0,0,1
vatlieubaokhang,15,3.59,0,0,1,0,0,0,0,0,0
binhthuantoday com,14,3.236,0,0,0,0,0,0,0,1,0
maugiaoso9-bd edu,13,3.393,7.692,1,0,0,0,0,1,0,1
baoanvietnam com,12,3.022,0,0,1,0,0,0,0,0,0
567c live,4,2,75,0,0,0,0,0,0,1,1
trangphucdien com,13,3.547,0,0,0,0,0,0,1,0,0
kimbaongan,10,2.922,0,0,1,0,0,0,0,0,0
karim-mueller de,13,3.085,0,1,0,0,0,0,0,1,1
logistics gov,9,2.725,0,0,0,0,0,0,1,0,0
langsonuni edu,10,2.846,0,0,0,0,0,0,1,0,0
quatanthu fun,9,2.503,0,0,0,0,0,0,0,1,1
thegioivaynhanh site,15,3.19,0,0,0,0,0,0,0,1,1
riotcoin network,8,2.5,0,0,0,0,0,0,0,1,1
pguw6 com,5,2.322,20,0,0,0,0,0,0,1,1
hokido,6,2.252,0,0,0,0,0,0,0,1,1
pqwermn com,7,2.807,0,0,0,0,0,0,0,1,1
tienphuoc com,9,3.17,0,0,0,0,0,0,0,1,0
elo88 com,5,1.922,40,0,0,0,0,0,0,1,1
dongho-thuysi com,13,3.393,0,1,0,0,0,0,1,0,1
edunetworkglobal com,16,3.625,0,0,0,0,0,0,1,0,1
vaytiennhanh365,15,3.323,20,0,0,0,0,0,0,1,1
kilu,4,2,0,0,0,0,0,0,0,1,0
omaigiabao,10,2.446,0,0,1,0,0,0,0,0,0
sd9796 xyz,6,2.252,66.667,0,0,0,0,0,0,1,1
cgv,3,1.585,0,0,0,0,0,0,0,1,0
sendo575 com,8,2.75,37.5,0,0,0,0,0,1,0,1
newsphinxbeerbar,16,3.328,0,0,1,0,0,0,0,0,0
tainguyenmoitruong gov,18,3.35,0,0,0,0,0,0,1,0,0
clmm1s co,6,2.252,16.667,0,0,0,0,0,1,0,1
kiahaiphong-daily,17,3.41,0,1,1,0,0,0,0,0,0
alaskahoabinh com,13,2.931,0,0,0,1,0,0,0,0,0
lshzoo cc,6,2.252,0,0,0,0,0,0,0,1,1
vn-ar life,5,2.322,0,1,0,0,0,0,0,1,1
thicongbangquangcao24h com,22,3.538,9.091,0,1,0,0,0,0,0,0
accvalorant com,11,2.845,0,0,0,0,0,0,0,1,1
nhadatlongxuyen24h,18,3.684,11.111,0,1,0,0,0,0,0,0
atradius,8,2.75,0,0,0,0,0,0,0,1,0
hiltonsaigon,12,3.085,0,0,0,0,0,0,0,1,0
questekvietnam,14,3.325,0,0,0,0,0,0,0,1,0
dichvuvayvon,12,3.189,0,0,0,0,0,0,1,0,1
bachkhoasaigon edu,14,3.182,0,0,0,0,0,0,0,1,0
nhacai-red88 vin,12,3.252,16.667,1,0,0,0,0,0,1,1
arco com,4,2,0,0,0,0,0,0,0,1,0
yfinance,8,2.75,0,0,0,0,0,0,0,1,0
vipchanle club,9,3.17,0,0,0,0,0,0,1,0,1
ktcnnqb edu,7,2.522,0,0,0,0,0,0,0,1,0
kucasinovn me,10,3.122,0,0,0,0,1,0,0,0,1
ticketbox tv,9,2.948,0,0,0,0,0,0,0,1,1
sd8795 xyz,6,2.585,66.667,0,0,0,0,0,0,1,1
moonlive studio,8,2.75,0,0,0,0,0,0,0,1,1
binglowin com,9,2.725,0,0,0,0,0,0,0,1,1
thuocviet,9,2.948,0,0,0,0,0,0,0,1,0
sporty88 com,8,2.75,25,0,0,0,0,0,0,1,1
77-club com,7,2.522,28.571,1,0,0,1,0,0,0,1
benhgiunsan,11,3.027,0,0,0,0,0,0,0,1,0
vinsteel,8,2.75,0,0,0,0,0,0,0,1,1
mavach24h,9,2.725,22.222,0,1,0,0,0,0,0,0
baobiminhkhang com,14,3.093,0,0,1,0,0,0,0,0,0
ctktkt edu,6,1.459,0,0,0,0,0,0,0,1,0
mireax com,6,2.585,0,0,0,0,0,0,0,1,1
xvbrook com,7,2.522,0,0,0,0,0,0,0,1,1
baohatay com,8,2.406,0,0,1,0,0,0,0,0,0
7onez gitbook io,5,2.322,20,0,0,0,0,0,0,1,0
baovevietan,11,2.914,0,0,1,0,0,0,0,0,0
gamerik top,7,2.807,0,0,0,0,1,0,0,0,1
ak589 cc,5,2.322,60,0,0,0,0,0,0,1,1
infinitespace812 com,16,3.453,18.75,0,0,0,0,0,0,1,1
truongchinhtrithanhhoa gov,22,3.136,0,0,0,0,0,0,0,1,0
bayvip tech,6,2.585,0,0,0,0,0,0,0,1,1
vitinhtuongvy,13,3.085,0,0,1,0,0,0,0,0,0
housingbank,11,3.278,0,0,0,0,0,0,0,1,1
investvietnam gov,13,2.931,0,0,0,0,0,0,0,1,0
newfastloan cc,11,3.096,0,0,0,0,0,0,0,1,1
sd9302 xyz,6,2.585,66.667,0,0,0,0,0,0,1,1
kucoinusz com,9,2.948,0,0,0,0,0,0,1,0,1
cuoceuro info,8,2.25,0,0,0,0,0,0,1,0,1
th9940 com,6,2.252,66.667,0,0,0,0,0,0,1,1
dream-666 com,9,2.642,33.333,1,0,0,0,0,0,1,1
sukien-freefirenammoi site,21,3.404,0,1,0,0,0,0,0,1,1
baovedongnai com,12,3.085,0,0,1,0,0,0,0,0,0
co-opbank,9,2.948,0,1,0,0,0,0,0,1,0
hdcreditfinance88 com,17,3.382,11.765,0,0,0,0,0,0,1,1
vtcee999 com,8,2.156,37.5,0,0,0,0,0,0,1,1
nestdecor,9,2.948,0,0,0,0,0,0,0,1,0
210265 com,6,2.252,100,0,0,0,0,0,0,1,1
46r5g com,5,2.322,60,0,0,0,0,0,0,1,1
thôngtắcvệsinh24h,17,3.572,11.765,0,1,0,0,0,0,0,0
boombook us,8,1.75,0,0,0,0,0,0,0,1,1
lazada-004 com,10,2.646,30,1,0,0,0,0,0,1,1
cs854672 cc,8,3,75,0,0,0,0,0,0,1,1
boohoo,6,1.252,0,0,0,0,0,0,0,1,0
lfrcrypto com,9,2.948,0,0,0,0,0,0,0,1,1
momovip club,7,2.236,0,0,0,0,0,0,0,1,1
handheld com,8,2.5,0,0,0,0,0,0,0,1,0
4-t net,3,1.585,33.333,1,0,0,0,0,0,1,1
xn--shopmllutv-cx3e,19,3.787,5.263,3,0,0,0,0,0,1,1
matbanda com,8,2.406,0,0,0,0,0,0,0,1,0
baovevietthienlong com,18,3.35,0,0,1,0,0,0,0,0,0
xechauau com,8,2.5,0,0,0,0,0,0,0,1,0
thetindung-online com,17,3.264,0,1,1,0,0,0,0,0,1
vaynganhangagribank xyz,19,2.966,0,0,0,0,0,0,1,0,1
sanankids edu,9,2.503,0,0,0,0,0,0,0,1,0
cm66llks top,8,2.5,25,0,0,0,0,0,0,1,1
sdfwe icu,5,2.322,0,0,0,0,0,0,0,1,1
fb88 blog,4,1.5,50,0,0,0,0,0,0,1,1
caphesachcaudat com,15,2.923,0,0,0,0,0,0,1,0,1
napthefreefire info,14,2.95,0,0,0,0,0,0,0,1,1
t9963 co,5,1.922,80,0,0,0,0,0,0,1,1
sd9728 xyz,6,2.585,66.667,0,0,0,0,0,0,1,1
sd3726 xyz,6,2.585,66.667,0,0,0,0,0,0,1,1
viensuimomaubt online,14,3.379,0,0,0,0,0,0,0,1,1
v567 live,4,2,75,0,0,0,0,0,0,1,1
generation-trades site,17,3.337,0,1,0,0,1,0,0,0,1
luatquocbao com,11,2.914,0,0,1,0,0,0,0,0,0
xetaxinoibai24h,15,3.323,13.333,0,1,0,0,0,0,0,0
hdbankfinancc website,13,3.027,0,0,0,0,0,0,0,1,1
shoptime,8,3,0,0,0,0,0,0,0,1,1
báocáo,6,1.918,0,0,1,0,0,0,0,0,0
trangtrian2021 com,14,3.093,28.571,0,0,0,0,0,1,0,1
thaotinvu com,9,2.948,0,0,1,0,0,0,0,0,0
123123bet02 com,11,2.664,72.727,0,0,0,1,0,0,0,1
clmomo fun,6,1.918,0,0,0,0,0,0,0,1,1
vinacomin,9,2.725,0,0,0,0,0,0,1,0,0
vn-in top,5,1.922,0,1,0,0,0,0,0,1,1
sangiaodichnhadat24h,20,3.384,10,0,1,0,0,0,0,0,0
pubgm-zing-vn online,13,3.239,0,2,0,0,0,0,1,0,1
toucai33n com,9,2.948,22.222,0,0,0,0,0,0,1,1
truongxiec edu,10,3.322,0,0,0,0,0,0,0,1,0
xsmm87 com,6,2.252,33.333,0,0,0,0,0,0,1,1
insvrvietnam com,12,3.085,0,0,0,0,0,0,0,1,1
minhtin,7,2.236,0,0,1,0,0,0,0,0,0
daotaotinhoc edu,12,2.855,0,0,1,0,0,0,0,0,0
shopne608 com,9,3.17,33.333,0,0,0,0,0,0,1,1
gi8vn net,5,2.322,20,0,0,0,0,0,0,1,1
giahanghoa com,10,2.446,0,0,0,0,0,0,1,0,0
topgroupbot com,11,2.664,0,0,0,0,0,0,0,1,1
sd1659 xyz,6,2.585,66.667,0,0,0,0,0,0,1,1
thankme,7,2.807,0,0,0,0,0,0,0,1,0
hcosmetic,9,2.948,0,0,0,0,0,0,0,1,0
baoho225 com,8,2.5,37.5,0,1,0,0,0,0,0,0
rdv777 com,6,1.792,50,0,0,0,0,0,0,1,1
cyber-game net,10,3.122,0,1,0,0,1,0,0,0,1
567ll live,5,1.922,60,0,0,0,0,0,0,1,1
lazada-4444 com,11,2.3,36.364,1,0,0,0,0,0,1,1
nuocmamtinhgia com,14,3.236,0,0,1,0,0,0,0,0,0
tuanlocvang123 com,14,3.522,21.429,0,0,0,0,0,1,0,1
vaytientinchap-vn site,17,3.337,0,1,1,0,0,0,0,0,1
bblive88 vip,8,2.5,25,0,0,0,0,0,0,1,1
randomfreefire com,14,2.985,0,0,0,0,0,0,0,1,1
rangcoffee id,10,2.922,0,0,0,0,0,0,1,0,0
cucdienanh gov,10,2.922,0,0,0,0,0,0,1,0,0
centernews247 com,13,3.181,23.077,0,1,0,0,0,0,0,1
mozrvh vip,6,2.585,0,0,0,0,0,0,0,1,1
luck6 com,5,2.322,20,0,0,0,0,0,0,1,1
duhocxkld com,9,2.948,0,0,0,0,0,0,1,0,1
tructiep,8,2.75,0,0,0,0,0,0,0,1,0
haiminhauto,11,2.914,0,0,0,0,0,0,1,0,0
jeoyar,6,2.585,0,0,0,0,0,0,1,0,0
doluongbaotri com,13,3.335,0,0,1,0,0,0,0,0,0
185772 com,6,2.252,100,0,0,0,0,0,0,1,1
intel com,5,2.322,0,0,0,0,0,0,0,1,0
kt-ktdonga,10,2.922,0,1,0,0,0,0,1,0,0
dongabank com,9,2.725,0,0,0,0,0,0,1,0,0
